time_ps,T_K,PE_eV_atom,P_GPa
5.000000000000000278e-02,4.189057695899999771e+02,-4.893580451666666775e+00,-2.195335753453333261e-01
1.000000000000000056e-01,3.935503850700000044e+02,-4.891779414635416323e+00,2.365604558033333193e-01
1.500000000000000222e-01,3.662978115299999899e+02,-4.891670341093750096e+00,-3.516699190766667260e-01
2.000000000000000111e-01,3.878769044200000167e+02,-4.898293877395833107e+00,1.922103393143333172e-01
2.500000000000000000e-01,3.721064956100000245e+02,-4.898557223958333040e+00,-6.513738680366666367e-01
3.000000000000000444e-01,3.434128798699999834e+02,-4.894900074479166641e+00,2.149098419723333431e-01
3.500000000000000333e-01,3.627849179599999729e+02,-4.895721933958333771e+00,-2.675622141449999769e-01
4.000000000000000222e-01,3.541530737499999759e+02,-4.892401987708333344e+00,-6.593897878333333795e-02
4.500000000000000111e-01,3.580841605699999946e+02,-4.890225483489583524e+00,1.572930544533333308e-01
5.000000000000000000e-01,3.836018292399999723e+02,-4.890865729791666894e+00,-2.015767845989999973e-01
5.500000000000000444e-01,3.927689664499999935e+02,-4.890684057656249806e+00,1.531606010343333213e-01
6.000000000000000888e-01,3.829810087700000167e+02,-4.888893891614583431e+00,-2.168802795643333114e-01
6.500000000000000222e-01,3.688290433700000222e+02,-4.886590371562499868e+00,-1.999483616616666570e-01
7.000000000000000666e-01,4.123883783300000232e+02,-4.892190943333333486e+00,-4.179975638666666438e-01
7.500000000000000000e-01,3.939047616400000038e+02,-4.891519489687500055e+00,7.007248866199999870e-02
8.000000000000000444e-01,3.956041970599999900e+02,-4.894624789739583370e+00,-1.792712696023333330e-01
8.500000000000000888e-01,3.693741517999999928e+02,-4.894245769218749764e+00,-3.609105523333331483e-02
9.000000000000000222e-01,3.663278492800000095e+02,-4.895753778333333806e+00,5.818779888866667388e-02
9.500000000000000666e-01,3.517693467099999793e+02,-4.894595105781250233e+00,-1.399375495176666817e-01
1.000000000000000000e+00,3.593663278500000047e+02,-4.894969145833333535e+00,-1.563605578966666687e-01
1.050000000000000044e+00,3.934644797999999923e+02,-4.897375878854166587e+00,-2.275349677433332884e-01
1.100000000000000089e+00,3.984896314900000220e+02,-4.894962491718749753e+00,-2.329582139176666622e-01
1.150000000000000133e+00,4.446481530400000111e+02,-4.897773588177083859e+00,-4.197010276999999651e-02
1.200000000000000178e+00,3.846864423600000009e+02,-4.889625885572916886e+00,-3.144348903766666647e-01
1.250000000000000000e+00,3.913088741000000255e+02,-4.890500172760416930e+00,-1.094153856566666833e-01
1.300000000000000044e+00,3.924940368700000022e+02,-4.890748946250000451e+00,-1.317099041599999708e-02
1.350000000000000089e+00,3.922782438099999922e+02,-4.891623468125000151e+00,-8.300041242300000566e-02
1.400000000000000133e+00,3.632890565600000059e+02,-4.889297658385416412e+00,-3.436349959209999416e-01
1.450000000000000178e+00,3.698117772699999932e+02,-4.891502053489583446e+00,1.898626259676667039e-01
1.500000000000000000e+00,3.631128863299999807e+02,-4.892575834635416676e+00,-1.149367847503333234e-01
1.550000000000000044e+00,3.385505536699999993e+02,-4.890999594218750524e+00,-4.841954699400000117e-01
1.600000000000000089e+00,3.643470661299999733e+02,-4.894809130052083290e+00,-2.996686363803333641e-01
1.650000000000000133e+00,3.550985418800000275e+02,-4.892170904583333702e+00,-3.619014025599999740e-01
1.700000000000000178e+00,4.008723754499999927e+02,-4.891575544947916576e+00,1.604028701212000252e-01
1.750000000000000000e+00,3.898702602600000091e+02,-4.886963668802082772e+00,-1.796767689949999858e-01
